Country,total_revenue,customer_count,order_count
United Kingdom,7328208.323,3958,17548
EIRE,339858.09,5,294
Netherlands,268587.67,22,130
Germany,201250.371,67,344
France,141086.37,47,233
Sweden,51398.31,16,66
Denmark,50906.85,9,26
Spain,46157.66,25,64
Switzerland,43921.39,14,40
Australia,30313.35,15,35
Channel Islands,24546.32,11,30
Portugal,23843.46,18,40
Belgium,23028.93,17,51
Italy,15052.73,11,28
Greece,14335.67,4,13
Austria,13154.33,10,26
Cyprus,11347.1,7,21
Norway,10027.84,4,9
Japan,9722.02,6,16
Finland,7379.46,7,16
United Arab Emirates,7047.41,4,8
Unspecified,5946.58,4,8
Lithuania,4892.68,1,6
USA,4785.62,6,15
Singapore,4037.77,1,4
Poland,3567.8,2,10
Israel,3199.4,2,2
Thailand,3070.54,1,2
Malta,2686.75,1,2
Iceland,1323.32,1,2
Canada,1216.66,1,2
Korea,1118.51,2,2
RSA,931.43,1,1
Bahrain,805.97,2,2
West Indies,536.41,1,1
Brazil,268.27,1,1
Nigeria,140.39000000000001,1,2
