yr,mo,yr_mo,total_revenue,total_orders,total_items
2009,12,2009-12,681297.57,1506,398693
2010,1,2010-01,540181.502,1000,370112
2010,2,2010-02,500872.576,1100,371815
2010,3,2010-03,669697.271,1512,501441
2010,4,2010-04,589320.562,1322,350233
2010,5,2010-05,596267.12,1371,384746
2010,6,2010-06,633585.65,1490,389576
2010,7,2010-07,585043.46,1372,324581
2010,8,2010-08,598102.05,1284,452493
2010,9,2010-09,810358.811,1668,567615
2010,10,2010-10,1019025.5,2116,596416
2010,11,2010-11,1165467.562,2584,652645
2010,12,2010-12,310482.12,775,157513
