Customer ID,recency,frequency,monetary,R_score,F_score,M_score,segment,cancellation_rate,purchase_orders,cancelled_orders,true_champion
12346,164,11,372.86,2,5,2,At Risk,0.21428571428571427,11,3,False
12347,2,2,1323.32,5,2,4,Potential,0.0,2,0,False
12348,73,1,222.16,2,1,1,Lost,0.0,1,0,False
12349,42,3,2671.14,3,3,5,Loyal,0.25,3,1,False
12351,10,1,300.93,5,1,2,Potential,0.0,1,0,False
12352,10,2,343.8,5,2,2,Potential,0.0,2,0,False
12353,43,1,317.76,3,1,2,Potential,0.0,1,0,False
12355,202,1,488.21000000000004,1,1,2,Lost,0.0,1,0,False
12356,15,3,3560.3,4,3,5,Loyal,0.0,3,0,False
12357,23,2,12079.99,4,2,5,Potential,0.0,2,0,False
12358,10,3,2719.01,5,3,5,Loyal,0.0,3,0,False
12359,60,6,2563.36,3,4,5,Loyal,0.25,6,2,False
12360,14,5,1590.83,5,4,4,Champions,0.16666666666666666,5,1,True
12361,97,3,321.35,2,3,2,At Risk,0.0,3,0,False
12362,373,1,130.0,1,1,1,Lost,0.0,1,0,False
12366,268,1,500.24,1,1,3,Lost,0.0,1,0,False
12368,263,1,917.6999999999999,1,1,3,Lost,0.0,1,0,False
12369,48,3,1791.15,3,3,4,Loyal,0.0,3,0,False
12370,259,3,774.62,1,3,3,At Risk,0.0,3,0,False
12371,44,3,2179.42,3,3,5,Loyal,0.0,3,0,False
12373,259,2,763.0500000000001,1,2,3,Lost,0.0,2,0,False
12374,56,3,2246.29,3,3,5,Loyal,0.0,3,0,False
12376,24,2,503.15,4,2,3,Potential,0.0,2,0,False
12377,16,2,1798.2,4,2,4,Potential,0.0,2,0,False
12378,197,1,1407.7,1,1,4,Lost,0.0,1,0,False
12379,57,2,767.98,3,2,3,Potential,0.0,2,0,False
12380,100,6,5442.84,2,4,5,At Risk,0.25,6,2,False
12385,14,1,1938.4,5,1,4,Potential,0.5,1,1,False
12386,1,1,258.9,5,1,2,Potential,0.0,1,0,False
12387,50,1,143.94,3,1,1,Potential,0.0,1,0,False
12388,80,2,1120.45,2,2,4,Lost,0.0,2,0,False
12389,37,3,1433.33,3,3,4,Loyal,0.0,3,0,False
12391,99,5,2285.18,2,4,5,At Risk,0.16666666666666666,5,1,False
12392,226,1,234.75000000000003,1,1,1,Lost,0.0,1,0,False
12393,17,2,816.85,4,2,3,Potential,0.3333333333333333,2,1,False
12395,6,4,2048.64,5,4,4,Champions,0.0,4,0,True
12396,309,1,931.43,1,1,3,Lost,0.0,1,0,False
12399,20,3,853.65,4,3,3,Loyal,0.0,3,0,False
12400,49,1,205.25,3,1,1,Potential,0.0,1,0,False
12402,27,5,1031.3,4,4,4,Champions,0.16666666666666666,5,1,True
12403,156,1,591.6600000000001,2,1,3,Lost,0.0,1,0,False
12404,317,1,63.24,1,1,1,Lost,0.0,1,0,False
12406,34,3,2975.06,4,3,5,Loyal,0.25,3,1,False
12408,20,3,1452.22,4,3,4,Loyal,0.4,3,2,False
12409,55,4,12346.619999999999,3,4,5,Loyal,0.3333333333333333,4,2,False
12410,137,1,320.38,2,1,2,Lost,0.0,1,0,False
12411,44,1,346.9,3,1,2,Potential,0.0,1,0,False
12412,37,3,1370.05,3,3,4,Loyal,0.4,3,2,False
12413,37,1,241.35,3,1,1,Potential,0.0,1,0,False
12414,98,1,130.0,2,1,1,Lost,0.5,1,1,False
12415,10,4,19468.84,5,4,5,Champions,0.0,4,0,True
12416,291,1,202.56,1,1,1,Lost,0.0,1,0,False
12417,45,11,3148.31,3,5,5,Loyal,0.26666666666666666,11,4,False
12418,48,3,1352.62,3,3,4,Loyal,0.25,3,1,False
12419,20,2,503.01,4,2,3,Potential,0.0,2,0,False
12421,50,2,291.56,3,2,2,Potential,0.3333333333333333,2,1,False
12422,29,12,3369.79,4,5,5,Champions,0.14285714285714285,12,2,True
